/Path;has_COHORT1;has_COHORT2;has_COHORT3;has_COHORT4;has_COHORT5;has_COHORT6;has_COHORT7;has_COHORT8;has_COHORT9;has_COHORT10;conversionsrate/
11;0;0;1;1;1;0;0;1;0;0;0.01
23;0;1;0;1;0;0;1;1;1;0;0.02
111;1;1;0;0;1;0;0;1;1;0;0.01
10;1;0;0;0;0;0;0;1;0;0;0.01
10;1;0;0;0;0;0;0;1;0;0;0.01
27;0;1;1;1;0;0;0;1;1;0;0
27;0;1;1;1;0;0;0;1;1;0;0
66;0;0;0;1;1;0;1;1;0;0;0
66;0;0;0;1;1;0;1;1;0;0;0
123;0;0;1;1;0;0;0;1;0;0;0.01
123;0;0;1;1;0;0;0;1;0;0;0.01
122;0;1;1;1;0;0;1;1;1;0;0
122;0;1;1;1;0;0;1;1;1;0;0
69;0;1;0;1;0;0;0;1;1;0;0.02
69;0;1;0;1;0;0;0;1;1;0;0.02
3;0;0;0;1;1;0;0;1;0;0;0
3;0;0;0;1;1;0;0;1;0;0;0
42;1;0;0;0;1;0;0;0;0;0;0.01
42;1;0;0;0;1;0;0;0;0;0;0.01
114;0;1;1;1;0;0;0;0;1;0;0
114;0;1;1;1;0;0;0;0;1;0;0
114;0;1;1;1;0;0;0;0;1;0;0
98;0;1;1;1;0;0;0;1;0;0;0
98;0;1;1;1;0;0;0;1;0;0;0
98;0;1;1;1;0;0;0;1;0;0;0
121;0;0;1;1;1;0;1;1;0;0;0
121;0;0;1;1;1;0;1;1;0;0;0
121;0;0;1;1;1;0;1;1;0;0;0
21;0;0;1;1;1;0;1;1;1;0;0
21;0;0;1;1;1;0;1;1;1;0;0
21;0;0;1;1;1;0;1;1;1;0;0
62;0;0;1;1;0;0;1;1;0;0;0
62;0;0;1;1;0;0;1;1;0;0;0
62;0;0;1;1;0;0;1;1;0;0;0
39;0;1;1;1;0;0;1;1;0;0;0.01
39;0;1;1;1;0;0;1;1;0;0;0.01
39;0;1;1;1;0;0;1;1;0;0;0.01
75;0;1;1;1;1;0;0;1;0;0;0
